symbol,sector,industry,market_cap,cap_tier
3MINDIA,Industrials,Conglomerates,396192514048.0,large
ABFRL,Consumer Cyclical,Apparel Manufacturing,69855182848.0,mid
ABB,Industrials,Specialty Industrial Machinery,1596093890560.0,large
AFFLE,Communication Services,Advertising Agencies,215095771136.0,large
ABBOTINDIA,Healthcare,Drug Manufacturers - Specialty & Generic,611979886592.0,large
AEGISLOG,Energy,Oil & Gas Refining & Marketing,461038485504.0,large
ABCAPITAL,Financial Services,Financial Conglomerates,1119204671488.0,large
AIAENG,Industrials,Specialty Industrial Machinery,436879294464.0,large
APLLTD,Healthcare,Drug Manufacturers - Specialty & Generic,163855007744.0,mid
ALKEM,Healthcare,Drug Manufacturers - Specialty & Generic,679308558336.0,large
AJANTPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,446682333184.0,large
ALLCARGO,Industrials,Integrated Freight & Logistics,12236850176.0,small
AKZOINDIA,Unknown,Unknown,,unknown
AMBUJACEM,Basic Materials,Building Materials,1095431684096.0,large
APOLLOHOSP,Healthcare,Medical Care Facilities,1283493724160.0,large
ANANDRATHI,Financial Services,Asset Management,347225489408.0,large
ASAHIINDIA,Consumer Cyclical,Auto Parts,227866673152.0,large
APOLLOTYRE,Consumer Cyclical,Auto Parts,271061090304.0,large
ASHOKLEY,Industrials,Farm & Heavy Construction Machinery,904221163520.0,large
ASTERDM,Healthcare,Medical Care Facilities,708100751360.0,large
ASIANPAINT,Basic Materials,Specialty Chemicals,2581053833216.0,large
ARCHEAN,Unknown,Unknown,,unknown
ASTRAL,Industrials,Building Products & Equipment,380166864896.0,large
ATUL,Basic Materials,Specialty Chemicals,182288629760.0,mid
AUBANK,Financial Services,Banks - Regional,750828388352.0,large
AUROPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,908924485632.0,large
DMART,Consumer Defensive,Discount Stores,2593068941312.0,large
BAJAJELEC,Consumer Cyclical,"Furnishings, Fixtures & Appliances",38443098112.0,small
AXISBANK,Financial Services,Banks - Regional,3914218340352.0,large
BAJAJ-AUTO,Consumer Cyclical,Auto Manufacturers,2905403555840.0,large
BAJAJHLDNG,Financial Services,Asset Management,1162572070912.0,large
BAJAJFINSV,Financial Services,Financial Conglomerates,3038552522752.0,large
BAJFINANCE,Financial Services,Credit Services,6648153243648.0,large
BALKRISIND,Consumer Cyclical,Auto Parts,393903079424.0,large
ACGL,Unknown,Unknown,,unknown
BALRAMCHIN,Consumer Defensive,Confectioners,130531434496.0,mid
BANDHANBNK,Financial Services,Banks - Regional,336441409536.0,large
BANKBARODA,Financial Services,Banks - Regional,1280946470912.0,large
BANKINDIA,Financial Services,Banks - Regional,669697441792.0,large
BASF,Basic Materials,Specialty Chemicals,165944147968.0,mid
BATAINDIA,Consumer Cyclical,Footwear & Accessories,89827901440.0,mid
BAYERCROP,Basic Materials,Agricultural Inputs,195561013248.0,mid
BHARATFORG,Consumer Cyclical,Auto Parts,1052655616000.0,large
BEL,Industrials,Aerospace & Defense,2997374681088.0,large
BHARTIARTL,Communication Services,Telecom Services,12155401273344.0,large
BPCL,Energy,Oil & Gas Refining & Marketing,1364450082816.0,large
BIOCON,Healthcare,Biotechnology,716937691136.0,large
BIRLACORPN,Basic Materials,Building Materials,77721493504.0,mid
BLUESTARCO,Industrials,Building Products & Equipment,350083153920.0,large
BHEL,Industrials,Specialty Industrial Machinery,1439136743424.0,large
BSE,Financial Services,Financial Data & Stock Exchanges,1488057008128.0,large
BOSCHLTD,Consumer Cyclical,Auto Parts,1205505622016.0,large
CAMLINFINE,Basic Materials,Specialty Chemicals,23798231040.0,small
CANFINHOME,Financial Services,Mortgage Finance,110851194880.0,mid
BRITANNIA,Consumer Defensive,Packaged Foods,1320439906304.0,large
BRIGADE,Real Estate,Real Estate - Development,185325453312.0,mid
CANBK,Financial Services,Banks - Regional,1156689428480.0,large
CARBORUNIV,Industrials,Conglomerates,206533050368.0,large
CASTROLIND,Energy,Oil & Gas Refining & Marketing,182770024448.0,mid
CHAMBLFERT,Basic Materials,Agricultural Inputs,175986524160.0,mid
CHALET,Consumer Cyclical,Lodging,183944118272.0,mid
CEATLTD,Consumer Cyclical,Auto Parts,137483894784.0,mid
CENTRALBK,Financial Services,Banks - Regional,289825882112.0,large
CENTURYPLY,Basic Materials,Lumber & Wood Production,176149856256.0,mid
CERA,Industrials,Building Products & Equipment,80348594176.0,mid
CENTURYTEX,Unknown,Unknown,,unknown
CHEMPLAST,Unknown,Unknown,,unknown
CHOLAFIN,Financial Services,Credit Services,1502038196224.0,large
CIPLA,Healthcare,Drug Manufacturers - Specialty & Generic,1157238358016.0,large
CUB,Financial Services,Banks - Regional,227712630784.0,large
CLEAN,Basic Materials,Specialty Chemicals,80408035328.0,mid
COALINDIA,Energy,Thermal Coal,2657676689408.0,large
COFORGE,Technology,Information Technology Services,661380071424.0,large
COCHINSHIP,Industrials,Aerospace & Defense,369707450368.0,large
COLPAL,Consumer Defensive,Household & Personal Products,569238683648.0,large
CONCOR,Industrials,Railroads,374449438720.0,large
CAMS,Technology,Information Technology Services,190435082240.0,mid
CRAFTSMAN,Consumer Cyclical,Auto Parts,245943205888.0,large
CREDITACC,Financial Services,Credit Services,245852848128.0,large
CROMPTON,Consumer Cyclical,"Furnishings, Fixtures & Appliances",166387597312.0,mid
COROMANDEL,Basic Materials,Agricultural Inputs,604984442880.0,large
CUMMINSIND,Industrials,Specialty Industrial Machinery,1547607605248.0,large
CYIENT,Industrials,Conglomerates,88159412224.0,mid
DALBHARAT,Basic Materials,Building Materials,349964009472.0,large
DABUR,Consumer Defensive,Household & Personal Products,755881148416.0,large
DCBBANK,Financial Services,Banks - Regional,61265571840.0,mid
DEEPAKNTR,Basic Materials,Chemicals,233000239104.0,large
DEVYANI,Consumer Cyclical,Restaurants,136646721536.0,mid
DELHIVERY,Industrials,Integrated Freight & Logistics,363104239616.0,large
DELTACORP,Consumer Cyclical,Resorts & Casinos,16992753664.0,small
DIVISLAB,Healthcare,Drug Manufacturers - Specialty & Generic,1945884688384.0,large
DATAPATTERNS,Unknown,Unknown,,unknown
DISHTV,Communication Services,Entertainment,5358055424.0,small
DIXON,Technology,Consumer Electronics,858401079296.0,large
DLF,Real Estate,Real Estate - Development,1667493789696.0,large
DOLLAR,Consumer Cyclical,Apparel Manufacturing,14729177088.0,small
DRREDDY,Healthcare,Drug Manufacturers - Specialty & Generic,1004248498176.0,large
EDELWEISS,Financial Services,Financial Conglomerates,114255831040.0,mid
ELGIEQUIP,Industrials,Specialty Industrial Machinery,189460119552.0,mid
EICHERMOT,Consumer Cyclical,Auto Manufacturers,2110748753920.0,large
ECLERX,Technology,Information Technology Services,177056628736.0,mid
ENDURANCE,Consumer Cyclical,Auto Parts,387104145408.0,large
EMAMILTD,Consumer Defensive,Household & Personal Products,175036497920.0,mid
EPL,Consumer Cyclical,Packaging & Containers,76054675456.0,mid
EQUITASBNK,Financial Services,Banks - Regional,93147480064.0,mid
EXIDEIND,Consumer Cyclical,Auto Parts,376932499456.0,large
FEDERALBNK,Financial Services,Banks - Regional,878304821248.0,large
ESCORTS,Industrials,Farm & Heavy Construction Machinery,325262966784.0,large
FIEMIND,Consumer Cyclical,Auto Parts,61364285440.0,mid
FINCABLES,Industrials,Electrical Equipment & Parts,153887571968.0,mid
FIVESTAR,Financial Services,Credit Services,166604095488.0,mid
FINPIPE,Industrials,Building Products & Equipment,102466985984.0,mid
FSL,Technology,Information Technology Services,183716904960.0,mid
FORTIS,Healthcare,Medical Care Facilities,731554447360.0,large
GABRIEL,Consumer Cyclical,Auto Parts,263806877696.0,large
NYKAA,Consumer Cyclical,Internet Retail,939211948032.0,large
GAIL,Utilities,Utilities - Regulated Gas,1143998119936.0,large
GALAXYSURF,Basic Materials,Specialty Chemicals,69122580480.0,mid
GRSE,Industrials,Aerospace & Defense,300091867136.0,large
GET&D,Unknown,Unknown,,unknown
GATEWAY,Industrials,Integrated Freight & Logistics,29129236480.0,small
GHCL,Basic Materials,Chemicals,39663181824.0,small
GILLETTE,Consumer Defensive,Household & Personal Products,257618722816.0,large
GICRE,Financial Services,Insurance - Reinsurance,634654228480.0,large
GLENMARK,Healthcare,Drug Manufacturers - Specialty & Generic,632722423808.0,large
GLAXO,Healthcare,Drug Manufacturers - General,424633171968.0,large
GMRINFRA,Unknown,Unknown,,unknown
MEDANTA,Healthcare,Medical Care Facilities,360781905920.0,large
GODFRYPHLP,Consumer Defensive,Tobacco,332584288256.0,large
GODREJCP,Consumer Defensive,Household & Personal Products,1078768041984.0,large
GODREJAGRO,Consumer Defensive,Packaged Foods,110703165440.0,mid
GODREJIND,Industrials,Conglomerates,465022844928.0,large
GODREJPROP,Real Estate,Real Estate - Development,651943346176.0,large
GRANULES,Healthcare,Drug Manufacturers - Specialty & Generic,216995774464.0,large
GRASIM,Basic Materials,Building Materials,2156708102144.0,large
GESHIP,Industrials,Marine Shipping,201148203008.0,large
GAEL,Consumer Defensive,Packaged Foods,65411022848.0,mid
GRINDWELL,Industrials,Building Products & Equipment,231991623680.0,large
GOODRICKE,Unknown,Unknown,,unknown
GUJGASLTD,,,306848399360.0,large
GNFC,Basic Materials,Chemicals,74205044736.0,mid
GSPL,,,156286550016.0,mid
HATSUN,Consumer Defensive,Packaged Foods,206821769216.0,large
GSFC,Basic Materials,Agricultural Inputs,63230410752.0,mid
HAVELLS,Industrials,Electrical Equipment & Parts,764119089152.0,large
HCLTECH,Technology,Information Technology Services,3353797722112.0,large
HDFCAMC,Financial Services,Asset Management,1106396971008.0,large
HAPPSTMNDS,Technology,Information Technology Services,56543563776.0,mid
HDFCBANK,Financial Services,Banks - Regional,11727248818176.0,large
HEIDELBERG,Basic Materials,Building Materials,36471775232.0,small
HEMIPROP,Real Estate,Real Estate - Diversified,39330107392.0,small
HDFCLIFE,Financial Services,Insurance - Life,1218455666688.0,large
HERANBA,Basic Materials,Agricultural Inputs,7195621888.0,small
HESTERBIO,Healthcare,Drug Manufacturers - Specialty & Generic,20841820160.0,small
HEROMOTOCO,Consumer Cyclical,Auto Manufacturers,1007287926784.0,large
HITECH,Basic Materials,Steel,17617547264.0,small
HFCL,Technology,Communication Equipment,333551566848.0,large
HGINFRA,Industrials,Engineering & Construction,36026589184.0,small
HSCL,Basic Materials,Specialty Chemicals,404102610944.0,large
HIRECT,Industrials,Electrical Equipment & Parts,44979511296.0,small
HAL,Industrials,Aerospace & Defense,3064126504960.0,large
HIKAL,Healthcare,Drug Manufacturers - Specialty & Generic,27710611456.0,small
HINDALCO,Basic Materials,Aluminum,2111953174528.0,large
HINDCOPPER,Basic Materials,Copper,476210987008.0,large
HMVL,Communication Services,Publishing,6731752448.0,small
HCC,Industrials,Engineering & Construction,59357147136.0,mid
HPCL,Unknown,Unknown,,unknown
HINDUNILVR,Consumer Defensive,Household & Personal Products,5033999466496.0,large
HOEC,Unknown,Unknown,,unknown
HINDZINC,Basic Materials,Other Industrial Metals & Mining,2258010636288.0,large
HITECHGEAR,Consumer Cyclical,Auto Parts,11323875328.0,small
HITECHCORP,Consumer Cyclical,Packaging & Containers,5491930112.0,small
HLVLTD,Consumer Cyclical,Lodging,4687337984.0,small
HMAAGRO,Consumer Defensive,Packaged Foods,10896750592.0,small
HINDWARE,Unknown,Unknown,,unknown
HOMEFIRST,Financial Services,Mortgage Finance,133802737664.0,mid
HONAUT,Industrials,Electrical Equipment & Parts,341286879232.0,large
HONDAPOWER,Industrials,Specialty Industrial Machinery,21329862656.0,small
